text,label,clean_text
Kunjungan Prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto,Sumber Daya Alam,kunjung prabowo resmi serah proyek bantu air bersih lima titik indonesiasentris indonesiahijau prabowo subianto
RT Anies dapat tepuk tangan meriah saat jadi Rektor mewajibkan mata kuliah anti-korupsi untuk memutus mata rantai korupsi.. #AminMiskinkanKoruptor https://t.co/hgXsoQGaEa [RE ekowboy2],Politik,rt anies tepuk tangan riah jadi rektor wajib mata kuliah antikorupsi putus mata rantai korupsi re
"@CIqXqwGAT04tMtx4OCATxjoVq7vv/Y8HeYaIOgMFg8Y= emng bener sih, pendukung 01 ada yg goblok, begitu jg dg pendukung 02.. hnya sj menurut pak Ridwan Kamil skemanya terbalik, klo 01 MAYORITAS PENDIDIKAN MENENGAH ATAS (artinya ada jg pendidikan rendah yg milih",Demografi,emng bener sih dukung yg goblok jg dg dukung hnya sj pak ridwan kamil skema balik klo mayoritas didik tengah atas arti jg didik rendah yg milih
"RT @L3R8XFBw3WGbxRPSj0/0hHZTbqVGX7qtfwRg9zmhK7Q= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras. Apakah ini tidak standar ganda? Ã°ÂŸÂ¤Â­ [RE coldthem]",Politik,rt waktu anies sikap kritis kerja pak prabowo anggap engga sopan anggap kurang hormat orang tua gilir skrg gibran yg tengil sok kritis malah anggap kritis keras standar ganda re coldthem
Anies Baswedan Harap ASN termasuk TNI dan Polri Pegang Sumpahnya dalam Pemilu https://t.co/QRQZ3wI8YP,Politik,anies baswedan harap asn masuk tni polri pegang sumpah milu
"RT Duh jangan sampai Pak lurah denger nih Ã°ÂŸÂ¤Â­ Di Acara Hajatan Rakyat, Puluhan Ribu Warga di Kendal Serukan Ã¢Â€ÂœGanjar PresidenÃ¢Â€Â Kehadiran @0Zdeh9QcTWu+z+fS3hRaTcFuSLRh56REFyRLq4/Jdlc= menjadi magnet bagi puluhan ribu warga untuk datang menghadiri Hajatan Rakyat Ganjar-Mahfud. Besarnya antusiasme warga menjadi bukti bahwa Jawa Tengah tetap menjadi kandang banteng. #GanjarMahfud2024 #TabrakProfMahfud [RE DS_yantie]",Politik,rt duh jangan pak lurah denger nih acara hajat rakyat puluh ribu warga kendal seru ganjar presiden hadir jadi magnet puluh ribu warga datang hadir hajat rakyat ganjarmahfud besar antusiasme warga jadi bukti jawa tengah tetap jadi kandang banteng tabrakprofmahfud re dsyantie
Prabowo minta Kemenhan dan Tim Satgas Air Unhan kaji bantuan air di Sukabumi. dekade08 Prabowo - Gibran,Pertahanan dan Keamanan,prabowo minta kemenhan tim satgas air unhan kaji bantu air sukabumi prabowo gibran
RT Anies: Ya Allah Sibukkanlah Orang Zalim Agar Dapat Kejahatan dari Orang Zalim Lainnya https://t.co/1VK6BWKu2s [RE OposisiCerdas],Politik,rt anies allah sibuk orang zalim jahat orang zalim lain re oposisicerdas
"RT Abah @znOMP7ZMVU9dMuMNA/cIazC9q5+hgwVkTsQNdQLKgTc= itu bapa kami, bapa yg berikan perhatian untuk pendidikan anak anak Papua jadi pintar pintar. Gerakan Indonesia mengajar tak bisa di lupakan sama warga Papua. Kami ingin bapa Anies jadi Presiden. https://t.co/FCdf6J1L3Z [RE LANGKAHANIES]",Politik,rt abah bapa bapa yg ikan perhati didik anak anak papua jadi pintar pintar gera indonesia ajar tak lupa sama warga papua bapa anies jadi presiden re langkahanies
"RT Bawaslu dimaki ""JANCUK"" sama warga garaÃ‚Â² mencopot spanduk Ganjar Mahfud, sementara spanduk Capres lain tidak dicopot. Bawaslu rasa tim sukses. Ã°ÂŸÂ˜Âª #AsalBukanPrabowo #OrdeBaruReborn https://t.co/AcubW2OFlq [RE 03__nakula]",Politik,rt bawaslu maki jancuk sama warga gara copot spanduk ganjar mahfud spanduk capres copot bawaslu rasa tim sukses asalbukanprabowo ordebarureborn re
"RT Beberapa isu basi terkait @hs5jZceksZrPM0NiWtKnsbSbZ1XyaZtU4OHkKgrcDk8= / @wEOWbjbQXX93e2r1/7iXQ1mV/pxGE9yrnUdgURpW0Y0= dan fakta sebenarnya bisa dilihat di https://t.co/3aR3K0Plf4. Beberapa diantaranya: Ã¢Â€Â¢ Anies akan mengganti Pancasila dengan sistem Khilafah: https://t.co/jfzZ6vpU11 Ã¢Â€Â¢ Terkait toleransi berbagai penganut agamaÃ¢Â€Â”Anies blunder soal data rumah ibadah di Jakarta: https://t.co/nGdOmaVOEO Ã¢Â€Â¢ Anies mengkhianati Prabowo untuk jadi Capres: https://t.co/ioe8x09UpZ Saat kebenaran dan fakta atas suatu hal telah jelas, tapi tetap disangkalÃ¢Â€Â”entah karena niat jahat, nafsu, atau kepentingan pribadiÃ¢Â€Â¦benar bahwa seringkali yang buta itu bukan mata, tapi hati yang buta. [RE borryshasian]",Ideologi,rt beberapa isu basi kait fakta benar lihat beberapa antara anies ganti pancasila sistem khilafah kait toleransi bagai anut agamaanies blunder soal data rumah ibadah jakarta anies khianat prabowo jadi capres benar fakta atas suatu jelas tetap disangkalentah niat jahat nafsu penting pribadibenar seringkali buta bukan mata hati buta re
"RT Ganjar Pranowo-Mahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra, yaitu darat, laut, dan udara.Ganjar Mahfud M3nang. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Apri0801 https://t.co/kxi9ei6A46 [RE AllaaGa1]",Pertahanan dan Keamanan,rt ganjar pranowomahfud md tekan penting siap butuh dasar alutsista tiga matra darat laut udaraganjar mahfud ganjarmahfudrebound jnk temanalamganjar atikohibunegara re
"RT Calon presiden (capres) nomor urut 1 Anies Baswedan @vaVbSLyok3xdwCAiYpXkJarkzroaILpIRIdpu/z3CJE= sudah siap dengan kemampuannya menghadapi debat ketiga. Debat ketiga akan menyangkut tema soal pertahanan, keamanan, hubungan internasional, dan geopolitik. Download #metrotvxtend di app store & play store #aniesbaswedan #pemilu2024 #debatcapres [RE Metro_TV]",Pertahanan dan Keamanan,rt calon presiden capres nomor urut anies baswedan siap mampu hadap debat tiga debat tiga sangkut tema soal tahan aman hubung internasional geopolitik download metrotvxtend app store play store aniesbaswedan debatcapres re metrotv
Capres Ganjar Pranowo punya rencana besar! Dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/L8MREZKfXz,Politik,capres ganjar pranowo punya rencana besar bakal sinergi sama guru tinggi buat program bawa ubah positif ganjarmahfudrebound jnk
"@YcALzIavlM9mN2WtCz3omAmFsnJU8aBm4seMBHJD2vc= @tDtdY83jBV3k81lsAOhmIc1vK+/zGxcIdKVOWIu29xI= @Knh1OhMlSdWjOdPeGirPIxWUf4qXOOU/iNP8ZBTeaLE= @K7Z2vGLl2OuxDbFwAiP8MxCqp07lzjNsfLWVZu5Ipz4= Dengan pendapatan APBD jumbo, paling besar se-Indonesia, mencapai Rp 77",Ekonomi,dapat apbd jumbo paling besar indonesia capai rp
"@VHznvAltictn2PtvpMTLB+H/VJ6L603oe1oRpSZJtO4= Kenyataan yg timbul, menghancurkan pribadi yg isinya penuh kebencian ke AyahBOWO AdalahKITA menimbulkan dampak emosional di pemilih. #MunculFenomenaPAKbowo DukunganTulus Untuk02 @K5CWVm/0TA1XpCHveYhOEBrkxUugg2",Politik,nyata yg timbul hancur pribadi yg isi penuh benci ayahbowo adalahkita timbul dampak emosional pilih dukungantulus
"RT Mas Ganjar bawa data dan ngasih pertanyaan berdasar data. Bisa saja dijawab oleh Pak Prabowo tanpa bilang data dari Mas Ganjar salah. Tapi karena Pak Prabowo bilang datanya salah, wajar jika Mas Ganjar minta ditunjukkan mana data yang benar. Gak ada urusan sama waktu yang singkat. [RE pangeransiahaan]",Politik,rt mas ganjar bawa data ngasih tanya dasar data jawab pak prabowo bilang data mas ganjar salah pak prabowo bilang data salah wajar mas ganjar minta tunjuk mana data benar gak urus sama waktu singkat re pangeransiahaan
RT Trending On Twitter ( X) Anies Bubble meroket - Fenomena Fans K-pop join AMIN -ISME https://t.co/SzQctyOJoQ [RE Yurissa_Samosir],Sosial Budaya,rt trending on twitter x anies bubble roket fenomena fans kpop join amin isme re yurissasamosir
"RT @BUMlUyYYGIARoOH2Nx/iuCAFpXprUov+NM3cvB2DtYI= Wait wait pak. Ada bukti pak anies gunakan politik identitas ? Bukankah justru ahok yang terang terangan. Bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata ""kafir"". Berpikir adil itu memang sulit pak. https://t.co/tCzvhvR2G9 [RE iahk25]",Politik,rt wait wait pak bukti pak anies guna politik identitas bukankah justru ahok terang terang bahkan pilkada mantik selisih misal guna password wifi kata kafir pikir adil memang sulit pak re
"RT Siti Atikoh mengunjungi kantor TPD Ganjar-Mahfud Sumatera Selatan. Atikoh mendapat kejutan dari penyandang tuna rungu simpatisan Ganjar-Mahfud di Hari Tuna Rungu Nasional 2024. Atikoh diberikan kejutan berupa kaos warna merah, bertuliskan Ibu Negara Indonesia di bagian depan. Tak hanya diberikan kejutan, Atikoh juga diajarkan Bahasa Isyarat. #PDIPerjuangan #HUTPDIPerjuanganKe51 #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #MEnangkanGAnjar #Nomor3Pilihanku [RE PDI_Perjuangan]",Politik,rt siti atikoh unjung kantor tpd ganjarmahfud sumatera selatan atikoh dapat kejut sandang tuna rungu simpatisan ganjarmahfud hari tuna rungu nasional atikoh beri kejut upa kaos warna merah tulis ibu negara indonesia bagi depan tak beri kejut atikoh ajar bahasa isyarat pdiperjuangan kebenaranpastimenang satyamevajayate menangkanganjar re pdiperjuangan
RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2],Sosial Budaya,rt abah anies angkat martabat tani terus terus terima bansos hasil cukup aminajadulu re
"Calon Presiden RI Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/v6hsuOEr84",Politik,calon presiden ri ganjar pranowo yakin sama mahfud md regulasi hukum investasi bakal lebih mudah paham semua jnk
"RT Pak Michael Gaya bicara keras dan terkesan emosional tapi tetap berisiÃ°ÂŸÂ¥Â¹ "" Tidak Usah jangan, Berarti Prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya "" #Anies Pak Lurah Bu Hesti Anies Deserve Better Asnawi Videotron Pegang Miftah Papua Amien Rais https://t.co/VIKVDzL1Sr [RE Riweh_Banget]",Politik,rt pak michael gaya bicara keras kes emosional tetap isi usah jangan arti prabowo guna keras militer orang sifat anies pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais re riwehbanget
"Paslon 03 Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investor di Indonesia bakal lebih bersahabat dan terukur.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/RIoiHBQcPU",Politik,paslon ganjar pranowo yakin sama mahfud md regulasi hukum investor indonesia bakal lebih sahabat jnk
"RT ANIES SOSOK AYAH YANG PENUH KEHANGATAN - Ã¬Â• Ã«Â‹ÂˆÃ¬ÂŠÂ¤Ã«ÂŠÂ” Ã«Â”Â°Ã«ÂœÂ»Ã­Â•Â¨Ã¬ÂÂ´ ÃªÂ°Â€Ã«Â“ÂÃ­Â•Âœ Ã¬Â•Â„Ã«Â²Â„Ã¬Â§Â€Ã¬ÂÂ˜ Ã«ÂªÂ¨Ã¬ÂŠÂµÃ¬Âž Ã«Â‹ÂˆÃ«Â‹Â¤ Pak @tMhERoSGzAGffRRtESW3sH2i8KRZA00OpeRvhkolzv0= mmg sosok Ayah yg Penuh Kehangatan. Lihat dlm tayangan video ini, tangannya lentur banget menggendong anak kecil. Tampak Luwes, ngga kaku dan ngga buat-buat.Ã‚ Pasti anak-anaknya jg sering merasakan gendongan, pelukan dan pelukan beliau. - ""Kekuatan sejati adalah ketenangan di pelukan Ayah."" - #aniesbubbleÃ‚ #AniesMuhaimin2024 [RE papa_loren]",Pertahanan dan Keamanan,rt anies sosok ayah penuh hangat pak mmg sosok ayah yg penuh hangat lihat dlm tayang video tangan lentur banget gendong anak kecil tampak luwes ngga kaku ngga buatbuat anakanaknya jg sering rasa gendong peluk peluk beliau kuat sejati tenang peluk ayah aniesbubble re papaloren
Capres Ganjar Pranowo nggak main-main nih! Kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/aDzMKmTRYj,Politik,capres ganjar pranowo mainmain nih kolaborasi guru tinggi buat program edukatif oke punya ganjarmahfudrebound jnk
RT Projo Kawal Prabowo Gibran Menang Sekali Putaran Ã¢ÂœÂŠÃ°ÂŸÂ‡Â®Ã°ÂŸÂ‡Â© #projo #jokowi #setiadigarisrakyat https://t.co/9WT8h4Iizh [RE Projo_Pusat],Politik,rt projo kawal prabowo gibran menang sekali putar projo jokowi setiadigarisrakyat re projopusat
tempodotco semangat pak Ã‚ Ã‚ kami akan selalu m3nddukung muÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #DebatCapres https://t.co/K7EM7R7P2v,Politik,tempodotco semangat pak selalu mu ganjar mahfud hebat debatcapres
RT Anies sesuai selera masyarakat Sumatera Barat. https://t.co/6phxEXGjc6 [RE kamalmiko],Sosial Budaya,rt anies sesuai selera masyarakat sumatera barat re kamalmiko
RT Abah Anies Baswedan &amp; ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini Ã°ÂŸÂ”Â¥ https://t.co/XcZxFscBhw [RE Mdy_Asmara1701],Politik,rt abah anies baswedan amp ibu fery farhati tiba pekanbaru kampanye akbar dua hari re
Atikoh Beberkan Solusi Ganjar-Mahfud Atasi Harga Pangan Naik https://t.co/m8OARyG630,Politik,atikoh kan solusi ganjarmahfud atas harga pangan naik
RT Giliran Buruh Soloraya Deklarasi Dukung Prabowo-Gibran - Soloraya https://t.co/DBaQCYeqKV https://t.co/hjZXhvK0oi #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE doddy_h4312],Politik,rt gilir buruh soloraya deklarasi dukung prabowogibran soloraya re
Capres Cawapres Ganjar Pranowo dan Mahfud MD mengajak semua pihak untuk bersatu menjaga Konstitusi atau aturan dasar negara.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/VdpFFxOeUQ,Ideologi,capres cawapres ganjar pranowo mahfud md ajak semua pihak satu jaga konstitusi atur dasar negarajnk ganjarmahfudrebound
RT Raja dangdut Pak Haji Rhoma irama Bertanya Tentang seni dan Film Jika Pak Anies Terpilih jadi Presiden Desak ANIES &amp; Slepet Imin di JI-EXPO Kemayoran Jakarta pusat Hari ini Senin 29 Januari 2024 https://t.co/RrXqDp1oVE [RE Yurissa_Samosir],Politik,rt raja dangdut pak haji rhoma irama tanya seni film pak anies pilih jadi presiden desak anies amp slepet imin jiexpo mayor jakarta pusat hari senin januari re yurissasamosir
Capres Ganjar Pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet UU ITE.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/P6xBly0eos,Politik,capres ganjar pranowo beri ruang masyarakat beri masuk saran evaluasi pasal karet uu itejnk ganjarmahfudrebound
"RT Ini musuh utama gen z, Anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta &amp; pemerintahan dg penegakan aturan.. #AMINAjaDulu https://t.co/kcras6WuXs [RE ekowboy2]",Politik,rt musuh utama gen z anies tekad basmi praktik ordal terima tenaga kerja sektor swasta amp perintah dg tega atur aminajadulu re
"Debat Capres-Cawapres ke-3, Anies menyatakan nilai Kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100. Jadi Menteri saja tidak layak, menurut Paslon 01.",Politik,debat caprescawapres anies nyata nilai kemenhan laksana bijak nilai jadi menteri layak paslon
"Pasangan Duet Capres Cawapres Ganjar Pranowo Mahfud MD, motor perubahan. Kredit 35% untuk koprasi dan UMKM, jadi andalan bisnis lokal. Sukses terus, teman-teman.JN18A #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat",Ekonomi,pasang duet capres cawapres ganjar pranowo mahfud md motor ubah kredit koprasi umkm jadi andal bisnis lokal sukses terus jnk ganjarmahfudrebound
"RT Anak Muda Indonesia, the future of this nation is in your hand. It's the time for change. Anies for President..sampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide &amp; gagasan...tunjukan karya-karya Pak Anies untuk Perubahan Indonesia lebih baik lagi https://t.co/S9S9Kanr0z [RE Yurissa_Samosir]",Ideologi,rt anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan yg sampai teman lain saat adu ide amp gagasantunjukan karyakarya pak anies ubah indonesia lebih baik re yurissasamosir
"RT Pak AniesÃ¢Â€Â™s post has reached 26.000 likes and 1.350.573 on Dialog Capres w/ Kadin, tvOneNews Youtube in 1 Days 15 Hour 27 Minutes. Ã¢Â€Â” It is the fastest and highest post to reach 26k likes and 1.3M likes among capresÃ¢Â€Â™s members #ANIES #Ã¬Â•Â„Ã«Â‹ÂˆÃ¬ÂŠÂ¤ #AniesAtKadin https://t.co/skRZA4AWlp [RE aniesbubble]",Sosial Budaya,rt pak aniess post has reached likes and on dialog capres w kadin tvonenews youtube in days hour minutes it is the fastest and highest post to reach likes and likes among capress members anies aniesatkadin re aniesbubble
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,rt according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a mister of defense re wapamungkas
"RT Ini kejam, warga disitu sudah bersedia dibangun JIS dgn janji Anies utk memabngun rumah susun bagi mereka. Stlh rumah itu terbangun mrk ga diberikan haknya. Padahal Anies selaku Gubernur sll menepati janjinya. Kampung akuarium, kampung kunir dll. Apa yg salah rakyat mendapat rmh? [RE GeiszChalifah]",Sosial Budaya,rt kejam warga situ sedia bangun jis dgn janji anies utk memabngun rumah susun stlh rumah bangun mrk ga beri hak padahal anies selaku gubernur sll tepat janji kampung akuarium kampung kunir apa yg salah rakyat dapat rmh re geiszchalifah
RT Prabowo-Gibran akan Terapkan 17 Program Ini untuk Melancarkan Ekonomi Biru - Internasional Kontan https://t.co/3wJ1RkX4NX #MenangSeputaran [RE AzzrielAzaryahu],Ekonomi,rt prabowogibran terap program lancar ekonomi biru internasional kontan menangseputaran re azzrielazaryahu
"RT VIRAL Anies Baswedan Dapat Ancaman Penembakan, Tim Hukum AMIN Siap Tempuh Jalur Hukum! https://t.co/pnFEy0cLgj [RE democrazymedia]",Pertahanan dan Keamanan,rt viral anies baswedan ancam tembak tim hukum amin siap tempuh jalur hukum re democrazymedia
RT Kasihan Pendukung Prabowo udah dibela belain masuk penjara gak diakui..... https://t.co/8l6IbwcGwC [RE Catatan_ali7],Politik,rt kasihan dukung prabowo udah bela bain masuk penjara gak aku re
"tempodotco Ayo Ganjar, tuntaskan permasalahan yang ada di Indonesia, pasti bisa pasti m3nang Ã‚ Ã‚ semuakerjaÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar ayahbowo adalahkita Ã°ÂŸÂ˜Â€ https://t.co/zRmqeHufEI",Politik,tempodotco ayo ganjar tuntas masalah indonesia semuakerja ganjar mahfud hebat ayahbowo adalahkita
RT Wiranto langsung bergerak cepat untuk memberikan dukungan kepada Prabowo - Gibran. #WirantoGasPolDukung02 https://t.co/vkk1Hbk5Wl [RE AlfisyahriFarah],Politik,rt wiranto langsung gerak cepat beri dukung prabowo gibran re alfisyahrifarah
"RT gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionistÃ¢Â€Â¦.. kek thereÃ¢Â€Â™s so many possibilities kalo beliau kepilih bakal regress demokrasi kita, bakal lebih otoriter, bahkan banyak menteri progresif yg pasti akan didepakÃ¢Â€Â¦ [RE moonincancer__]",Politik,rt gua beneran sedih banget orang tuh susah terima fakta kalo prabowo war criminal zionist kek theres so many possibilities kalo beliau pilih bakal regress demokrasi bakal lebih otoriter bahkan banyak menteri progresif yg depak re moonincancer
"RT Lautan manusia sambut Capres nomor urut 1, Anies Baswedan saat laksanakan giat kampanye ke Bone, Sulawesi Selatan (Sulsel), Rabu (17/1/2024). Anies bertemu dengan masyarakat Bone di Lapangan Sepak Bola Cina. Kampanye kali ini cukup spesial lantaran ditemani oleh eks Wakil Presiden, Jusuf Kalla (JK). Melihat lautan manusia yang antusias menyapa Anies ini pun membuat dia merasa takjub, dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini. Simak berita selengkapnya di https://t.co/IuWcTPbHZj #HardNews_Politik #NewsOne #CariBeritaditvOne #NO01 #AniesBaswedan #Kampanye #ViralBone #Pilpres2024 #Politik #KamiKabarkanAndaPutuskan #MauMemilih #tvOneTVPemilu [RE tvOneNews]",Politik,rt laut manusia sambut capres nomor urut anies baswedan laksana giat kampanye bone sulawesi selatan sulsel rabu anies temu masyarakat bone lapang sepak bola cina kampanye kali cukup spesial lantar tani eks wakil presiden jusuf kalla jk lihat laut manusia antusias sapa anies buat rasa takjub tegas uang obar semangat simak berita lengkap hardnewspolitik newsone cariberitaditvone aniesbaswedan kampanye viralbone politik maumemilih tvonetvpemilu re tvonenews
RT baru kali ini ada capres yg mau peluk orang papua mencium tangan anak-Anak papua biar rakyat yang menilai !! Gak ngaruh tetap all in prabowo istirahatÃ°ÂŸÂ«Â£ Anies Deserve Better #AbahAnies #CakImin https://t.co/2lcwxzGCN0 [RE nialubis_],Politik,rt baru kali capres yg mau peluk orang papua cium tangan anakanak papua biar rakyat nilai gak ngaruh tetap all in prabowo istirahat anies deserve better abahanies cakimin re nialubis
"RT Yang sudah yakin vote Anies-Muhaimin pada 14 februari 2024, silahkan retweet!! #NakesDesakAnies https://t.co/qReuauPDzn [RE AbdulRachimmks]",Politik,rt yakin vote aniesmuhaimin februari silah retweet nakesdesakanies re abdulrachimmks
RT DATA YANG MANAAAAA ???? Data lahan pak prabowo itu bagian dari rahasia pertahanan ? Index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan ? Astagaaaa [RE MamatAlkatiri],Pertahanan dan Keamanan,rt data manaaaaa data lahan pak prabowo bagi rahasia tahan index peringkat baca pak ganjar rahasia tahan astagaaaa re mamatalkatiri
"RT Video ini direkam 5 April 2014 dlm acara ""Mengadili Anies"". Apakah jd Presiden adalah cita cita Anies??? Value pikiran yg dibawa dlm gagasan Pak Anies memang pemikiran seorang negarawan dari dulu, jarang kita dengar pemikiran2 macam beliau dinegeri ini guys. #AMINAjaDulu https://t.co/MTdDm5Q1Ge [RE BangPino__]",Politik,rt video rekam april dlm acara adil anies jd presiden cita cita anies value pikir yg bawa dlm gagas pak anies memang pikir orang negarawan dulu jarang dengar macam beliau negeri guys aminajadulu re bangpino
Pak Ganjar dan Prof Mahfud memperoleh dukungan luas karena keberanian mereka dalam menghadapi dinamika g3opolitik yang tidak terduga @oykGYdaFYBKvWXjXN2nlVXJgtQjBeR7nBLD5UiBobIc= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/qLVALTCMZa,Politik,pak ganjar prof mahfud oleh dukung luas berani hadap dinamika duga
RT JK Ungkap Sebab Tanah Bob Hasan Bisa Dimiliki Prabowo https://t.co/4TvcmCgso4 [RE CNNIndonesia],Politik,rt jk ungkap tanah bob hasan milik prabowo re cnnindonesia
"RT Sekarang bawaslu malah terkesan yg membenarkan kegiatan paslon 2, kunjungan prabowo ke cilincing yg diwarnai bagi2 uang 100rb dianggap kunjungan sebagai menhan oleh bawaslu, terserah klean lahÃ°ÂŸÂ™Â‚ https://t.co/MKF3x5U5qc [RE 5t3v3n_P3g3L]",Politik,rt sekarang bawaslu malah kes yg benar giat paslon kunjung prabowo cilincing yg warna uang anggap kunjung menhan bawaslu serah klean lah re
RT pak prabowo adalah tipe seseorang yang lebih suka menunjukkan bukti kinerjanya daripada sekedar omong kosong belaka #KinerjaBukanOmonOmon https://t.co/RZJRed7zsg [RE Bella9316530695],Politik,rt pak prabowo tipe orang lebih suka tunjuk bukti kerja dar omong kosong belaka kinerjabukanomonomon re
RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2],Sosial Budaya,rt abah anies angkat martabat tani terus terus terima bansos hasil cukup aminajadulu re
RT Jawaban pak Anies di Luar Prediksi...Ulama dari Madura Jawa timur Sampai Terkagum -kagum dengan pak Anies bahkan Ulama Madura yg Bernama Bapak Kyai Fattah mengaku kalah setelah Menyimak jawaban dari pak Anies di acara Cifp 2023 yg Lalu https://t.co/pYLrS3bWSe [RE Yurissa_Samosir],Politik,rt jawab pak anies luar prediksiulama madura jawa timur kagum kagum pak anies bahkan ulama madura yg nama bapak kyai fattah aku kalah simak jawab pak anies acara cifp yg lalu re yurissasamosir
"Nelayan butuh tindakan nyata, Ganjar Pranowo, Mahfud MD, bersama kita hadirkan solusi terbaik! #NelayanSolusiNyata #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/RxK3a8uHZA",Politik,nelayan butuh tindak nyata ganjar pranowo mahfud md sama hadir solusi baik nelayansolusinyata jnk ganjarmahfudrebound
"RT @0SIRtH1oGVbK2EuKBmDu8IZTnnsgBYm4kuRvLEJJ8lU= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras. Apakah ini tidak standar ganda? Ã°ÂŸÂ¤Â­ [RE coldthem]",Politik,rt waktu anies sikap kritis kerja pak prabowo anggap engga sopan anggap kurang hormat orang tua gilir skrg gibran yg tengil sok kritis malah anggap kritis keras standar ganda re coldthem
"Ganjar Pranowo, dengan tindakan positifnya, menunjukkan keberaniannya dalam menjaga keamanan nasional dengan mendukung Cyber Force. @sM3vaO7twKRwtWj4nHazQ7MxmIkoNjUDsLy4RQlCmug= #GanjarMahfudM3nangDebat #GanjarMahfud2024 #Coblos3 https://t.co/v4ONR717wa",Pertahanan dan Keamanan,ganjar pranowo tindak positif tunjuk berani jaga aman nasional dukung cyber force
"RT Batam hari ini pecah! Suasana pasar TOS 3000, Batam saat pak Anies Baswedan berkunjung. Para warga sekitar menyambut dan meneriakkan Anies Presiden .. https://t.co/xkYEUfFCTU [RE Mdy_Asmara1701]",Politik,rt batam hari pecah suasana pasar tos batam pak anies baswedan kunjung warga sambut teriak anies presiden re
